Mineprep:0.5 | 时间戳1779623115.5028656,中文,English,繁體中文,,,"② *生成器过滤类型{1:'👤', 2:'🟩' , 3:'🟥', 4:'🟨', 5:'🌊', 6:'📸', 7:'💡', 8:'👪', 9:'✨', 10:'🧱', 11:'𝓕', 12:'🔧'}",<2:放置生物>,<2:Mobs>,<2:放置生物>,,,,③,<3:预设素材>,<3:Preset>,<3:預設素材>,,,④,<4:附加组件>,<4:Attach>,<4:附加組件>,,,⑤,<5:枚举选项>,<5:Enum Options>,<5:枚舉選項>,,,,⑥,<6:放置方块>,<6:Blocks>,<6:放置方塊>,,,,⑦,<7:放置物品>,<7:Items>,<7:放置物品>
0,准备场景,Prep Scene,準備場景,,,👤,Steve,Steve,Steve,,,,🟥,VFX下界传送门,VFX Nether Portal,VFX地獄傳送門,,,🔧,拴绳,Lead,牽繩(拴繩),,,,"低
中
高
极高","Low
Medium
High
Epic","低 
中
高
極高",,,,👤🟩,金合欢木按钮,acacia_button,相思木按鈕,,,,👤🟩🌊,金合欢木船,acacia_boat,相思木船
1,更换材质,Swap Texture,更換材質,,,👤,Alex (细手臂),Alex (slim),Alex (細手臂),,,,🌊,可交互2D水面,Interactive 2D Water,可交互2D水面,,,✨🟨,末影粒子,Ender Particles,末影粒子,,,,"8bit 4:2:0#8bit420
8bit 4:2:2#8bit422
8bit 4:4:4#8bit444
10bit 4:2:0#10bit420
10bit 4:2:2#10bit422
10bit 4:4:4#10bit444
12bit 4:2:0#12bit420
12bit 4:2:2#12bit422
12bit 4:4:4#12bit444","8bit 4:2:0#8bit420
8bit 4:2:2#8bit422
8bit 4:4:4#8bit444
10bit 4:2:0#10bit420
10bit 4:2:2#10bit422
10bit 4:4:4#10bit444
12bit 4:2:0#12bit420
12bit 4:2:2#12bit422
12bit 4:4:4#12bit444","8bit 4:2:0#8bit420
8bit 4:2:2#8bit422
8bit 4:4:4#8bit444
10bit 4:2:0#10bit420
10bit 4:2:2#10bit422
10bit 4:4:4#10bit444
12bit 4:2:0#12bit420
12bit 4:2:2#12bit422
12bit 4:4:4#12bit444",,,,👤🟩,金合欢木按钮 [物品栏],acacia_button_inventory,相思木按鈕 [物品欄],,,,👤🟩🌊,金合欢木运输船,acacia_chest_boat,儲物箱相思木船
2,批量处理对象 :,Target :,批量處理對象：,,,👤,Steve+表情,Steve_face,Steve+表情,,,,🌊,可交互3D水池,Interactive 3D Water Pool,可交互3D水池,,,✨,爆炸粒子,Explosion Particles,爆炸粒子,,,,"2K_120.mp4
2K_120_HDR.mp4
2K_透明_Prores.mov
2K_3D.mp4
4K_VR全景.mp4
2K_HDR.png
2K_HDR.exr
512x512_动图.gif
512x512_动图.webp
默认","2K_120.mp4
2K_120_HDR.mp4
2K_Transparent_Prores.mov
2K_3D.mp4
4K_VR_Panorama.mp4
2K_HDR.png
2K_HDR.exr
512x512_Animated.gif
512x512_Animated.webp
Default","2K_120.mp4
2K_120_HDR.mp4
2K_透明_Prores.mov
2K_3D.mp4
4K_VR全景.mp4
2K_HDR.png
2K_HDR.exr
512x512_動圖.gif
512x512_動圖.webp
缺省",,,,👤🟩,金合欢木按钮 [按下],acacia_button_pressed,相思木按鈕 [按下],,,,👤🟩,金合欢木门,acacia_door,相思木門
3,视口选中项,Viewport selected,視口選中項,,,👤,Alex (细手臂+表情),Alex (slim)_face,Alex (細手臂+表情),,,,📸,摇臂摄像机,Crane Camera,搖臂攝像機,,,🔧,“通用跟踪目标” tag,“Followed Target”  tag,“通用跟踪目標” tag,,,,"普通 (sRGB)
HDR (Rec2100 PQ)
ACEScg
线性 (linear)","sRGB
HDR (Rec2100 PQ)
ACEScg
linear","普通 (sRGB)
HDR (Rec2100 PQ)
ACEScg
綫性 (linear)",,,,👤🟩,金合欢木门 [底部左],acacia_door_bottom_left,相思木門 [底部左],,,,👤🟩,悬挂式金合欢木告示牌,acacia_hanging_sign,相思木吊牌 (懸掛式相思木告示牌)
4,内容浏览器选中项,Content Browser Selected,内容瀏覽器選中項,,,👤,Steve 模块化IK绑定,Steve_modular IK rig,Steve 模塊化IK綁定,,,,✨,曲线引导粒子,Curve Guide Particles,曲線引導粒子,,,🔧,“碰撞” tag,“collider”  tag,“碰撞” tag,,,,"720p#1280x720
1080p#1920x1080
2K#2560x1440
4K#3840x2160
VR_4K (2:1)#4096x2048
VR_8K (2:1)#8192x4096
DCI_2K (1.89:1)#2048x1080
DCI_4K (1.89:1)#4096x2160
老电影 4:3#1920x1440
宽屏 2.39:1#3440x1440
方形 512x512#512x512
竖屏 9:16#1080x1920","720p#1280x720
1080p#1920x1080
2K#2560x1440
4K#3840x2160
VR_4K (2:1)#4096x2048
VR_8K (2:1)#8192x4096
DCI_2K (1.89:1)#2048x1080
DCI_4K (1.89:1)#4096x2160
Classic film 4:3#1920x1440
Widescreen 2.39:1#3440x1440
Square 512x512#512x512
Portrait 9:16#1080x1920","720p#1280x720
1080p#1920x1080
2K#2560x1440
4K#3840x2160
VR_4K (2:1)#4096x2048
VR_8K (2:1)#8192x4096
DCI_2K (1.89:1)#2048x1080
DCI_4K (1.89:1)#4096x2160
老電影 4:3#1920x1440
寬屏 2.39:1#3440x1440
方形 512x512#512x512
竪屏 9:16#1080x1920",,,,👤🟩,金合欢木门 [底部左打开],acacia_door_bottom_left_open,相思木門 [底部左打開],,,,👤🟩,金合欢木告示牌,acacia_sign,相思木指示牌 (相思木告示牌)
5,Blender路径,Blender path,Blender路徑,,,👤,Steve 直角弯折,Steve_angular bent,Steve 直角彎折,,,,🟩,滚动方块,Rolling Block,滾動方塊,,,📸,同步摄像机,Sync Camera,同步攝像機,,,,"无
模拟运行
第一人称
第三人称
FPV飞行","None
Run Simulation
First-person
Third-person
FPV Drone","無
模擬運行
第一人稱
第三人稱
FPV飛行",,,,👤🟩,金合欢木门 [底部右],acacia_door_bottom_right,相思木門 [底部右],,,,🟩,悦灵刷怪蛋,allay_spawn_egg,悦靈 生成蛋 (悅靈 生怪蛋)
6,"勾选框：是否将此参数用于准备场景、更换材质和应用所选参数按钮📥
按住左键可批量刷选","Checkbox: Whether to use this param for Prep Scene, Swap Texture and “Apply Selected Params” button 📥
Hold Left Mouse Button to batch-check the boxes.","勾選框：是否將此參數用於準備場景、更換材質和套用所選參數按鈕 📥
按住左鍵可批量刷選",,,👤,Steve [NPC],Steve [NPC],Steve [NPC],,,,✨,粒子自碰撞,Self-collision Particles,粒子自碰撞,,,🔧,骑乘上一个选中项,Ride Previous-Selected Actors,騎乘上一個選中項,,,,"CPU (慢)#CPU
Nvidia GPU#Nvidia
Intel GPU#Intel
AMD GPU#AMD
Apple GPU#Apple
Vulkan#Vulkan","CPU (slow)#CPU
Nvidia GPU#Nvidia
Intel GPU#Intel
AMD GPU#AMD
Apple GPU#Apple
Vulkan#Vulkan","CPU (慢)#CPU
Nvidia GPU#Nvidia
Intel GPU#Intel
AMD GPU#AMD
Apple GPU#Apple
Vulkan#Vulkan",,,,👤🟩,金合欢木门 [底部右打开],acacia_door_bottom_right_open,相思木門 [底部右打開],,,,🟩,紫水晶碎片,amethyst_shard,紫水晶碎片
7,"点击解锁滑条的范围限制（*你始终可以通过键盘输入超出范围的值）
按住左键可批量刷选","Click to unlock the slider’s range limit (*You can always enter values beyond the limit using keyboard)
Hold Left Mouse Button to batch-unlock this function.","點擊以解鎖滑條的範圍限制（*你始終可以透過鍵盤輸入超出範圍的數值）
按住左鍵可批量刷選",,,👤,Steve 高级运动匹配NPC,Advanced NPC,Steve 高級運動匹配NPC,,,,✨,落叶粒子,Falling Leaves,落葉粒子,,,✨,脚步粒子,Footstep Particles,脚步粒子,,,,"无#No
动图.gif#gif
动图.webp#webp
HDR/序列帧.png#png
HDR/动图.avif#avif
HDR/动图.jxl#jxl","None#No
Anim.gif#gif
Anim.webp#webp
HDR/Sequence.png#png
HDR/Anim.avif#avif
HDR/Anim.jxl#jxl","無#No
動圖.gif#gif
動圖.webp#webp
HDR/序列幀.png#png
HDR/動圖.avif#avif
HDR/動圖.jxl#jxl",,,,👤🟩,金合欢木门 [顶部左],acacia_door_top_left,相思木門 [頂部左],,,,🟩,垂钓纹样陶片,angler_pottery_sherd,垂釣陶罐碎片 (垂釣陶器碎片)
8,"实时同步，修改参数值能直接应用于选中项
按住左键可批量刷选","Live Link: modifying the param will be directly applied to selected actors.
Hold Left Mouse Button to batch-enable this function.","即時同步：修改參數值會直接套用到選中的項目
按住左鍵可批量刷選",,,🟩,僵尸,Zombie,喪屍(殭屍),,,,📸,飞行摄像机,FPV Flying Camera,飛行攝像機,,,🔧,阻隔（渲染为透明）,Alpha Holdout,阻隔（渲染為透明）,,,,"两组独立输出
左右并排 FSBS
上下并列 FTB
红蓝滤色","Two Seperate Outputs
Full Side By Side
Full Top Bottom
Red-Cyan Anaglyph","兩組獨立輸出
左右並排 FSBS
上下並列 FTB
紅藍濾色",,,,👤🟩,金合欢木门 [顶部左打开],acacia_door_top_left_open,相思木門 [頂部左打開],,,,🟩,苹果,apple,蘋果
9,"关键帧按钮，左键对所有选中项添加关键帧，若参数名不存在则跳过
右键/中键会先应用参数值，再添加关键帧","Keyframe button: Left‑click to add keyframes to all selected actors; skip if the param name does not exist.
Right‑click / Middle‑click will apply the param value first, then add keyframes.","關鍵幀按鈕，左鍵為所有選中項添加關鍵幀，若參數名稱不存在則跳過
右鍵/中鍵會先套用參數值，再添加關鍵幀",,,🟩👤,僵尸 [NPC],Zombie [NPC],喪屍(殭屍) [NPC],,,,✨🌊,下雨粒子,Rain Particles,下雨粒子,,,📸,nDisplay 3D摄像机组,nDisplay 3D Camera Rig,nDisplay 3D攝像機組,,,,,,,,,,👤🟩,金合欢木门 [顶部右],acacia_door_top_right,相思木門 [頂部右],,,,🟩,弓箭纹样陶片,archer_pottery_sherd,弓箭陶罐碎片 (弓箭陶器碎片)
