◆开始/停止跑步,◆开始/停止跑步,◆Start/Stop Run,◆開始/停止跑步
CamStyle_Close,CamStyle_Close,CamStyle_Close,CamStyle_Close
更新本地化文本,更新本地化文本,Update Localized Text,更新本地化文本
乱转,乱转,Random Turn,亂轉
方块模型2,方块模型2,Block Model 2,方塊模型2
Side,侧面,Side,側面
随机初始动画->权重/速度/偏移_0,随机初始动画->权重/速度/偏移_0,Random Initial Animation->Weight/Speed/Offset_0,隨機初始動畫->權重/速度/偏移_0
反转鼠标Y轴,反转鼠标Y轴,Invert Mouse Y-Axis,反轉滑鼠Y軸
旋转摆,旋转摆,Rotation Pendulum,旋轉擺
旧_画质预设,旧_画质预设,Old_Graphics Preset,舊_畫質預設
顶点动画数据集2,顶点动画数据集2,Vertex Animation Dataset 2,頂點動畫數據集2
状态机<->运动匹配,状态机<->运动匹配,State Machine<->Motion Matching,狀態機<->運動匹配
显示名称,显示名称,Display Name,顯示名稱
松散度,松散度,Looseness,鬆散度
动画1,动画1,Animation 1,動畫1
方块日月大小,方块日月大小,Block Sun/Moon Size,方塊日月大小
刷新状态,刷新状态,Refresh Status,刷新狀態
瞳距,瞳距,Interpupillary Distance,瞳距
随机偏移,随机偏移,Random Offset,隨機偏移
随机初始动画->权重/速度/偏移,随机初始动画->权重/速度/偏移,Random Initial Animation->Weight/Speed/Offset,隨機初始動畫->權重/速度/偏移
重载所有材质,重载所有材质,Reload All Materials,重載所有材質
◆批量断肢,◆批量断肢,◆Batch Dismember,◆批量斷肢
BlendOutTime,混合淡出时间,Blend Out Time,混合淡出時間
Sun brightness,太阳亮度,Sun Brightness,太陽亮度
抠像渲染目标,抠像渲染目标,Chroma Key Render Target,抠像渲染目標
背景透明,背景透明,Background Transparency,背景透明
缓存对象,缓存对象,Cache Object,緩存物件
向量,向量,Vector,向量
比例（方块1:方块2）,比例（方块1:方块2）,Ratio (Block1:Block2),比例（方塊1:方塊2）
三分量时间偏移,三分量时间偏移,Three-Component Time Offset,三分量時間偏移
碰撞debug,碰撞调试,Collision Debug,碰撞偵錯
多帧渲染目标数组,多帧渲染目标数组,Multi-Frame Render Target Array,多幀渲染目標數組
随机偏差,随机偏差,Random Deviation,隨機偏差
-还原,-还原,-Restore,-還原
Horizon color,地平线颜色,Horizon Color,地平線顏色
分辨率,分辨率,Resolution,解析度
披风贴图,披风贴图,Cape Texture,披風貼圖
画面尺寸,画面尺寸,Frame Size,畫面尺寸
平滑移动/旋转,平滑移动/旋转,Smooth Movement/Rotation,平滑移動/旋轉
描边,描边,Outline,描邊
网格体,网格体,Mesh,網格體
悬空放置,悬空放置,Air Placement,懸空放置
边缘光,边缘光,Edge Light,邊緣光
自动爬墙/多次尝试跳跃,自动爬墙/多次尝试跳跃,Auto Wall Climb/Multi-Jump,自動爬牆/多次嘗試跳躍
自定义皮肤0贴图,自定义皮肤0贴图,Custom Skin 0 Texture,自訂皮膚0貼圖
DestinationName,目标名称,Destination Name,目的地名稱
随机皮肤->权重,随机皮肤->权重,Random Skin->Weight,隨機皮膚->權重
◆批量破坏,◆批量破坏,◆Batch Destroy,◆批量破壞
面向玩家/目标,面向玩家/目标,Face Player/Target,面向玩家/目標
高光,高光,Specular,高光
日光/月光/环境光强度,日光/月光/环境光强度,Sun/Moon/Ambient Light Intensity,日光/月光/環境光強度
日期(天数),日期(天数),Date (Days),日期(天數)
追踪设置,追踪设置,Tracking Settings,追蹤設定
弹出对话框,弹出对话框,Pop-up Dialog,彈出對話框
渲染目标,渲染目标,Render Target,渲染目標
导入模型,导入模型,Import Model,匯入模型
日/月间接光照明,日/月间接光照明,Sun/Moon Indirect Lighting,日/月間接光照明
掉落数量/概率,掉落数量/概率,Drop Quantity/Probability,掉落數量/概率
辅助碰撞箱,辅助碰撞箱,Auxiliary Collision Box,輔助碰撞箱
体积雾颜色,体积雾颜色,Volumetric Fog Color,體積霧顏色
Sun height,太阳高度,Sun Height,太陽高度
物理模拟权重,物理模拟权重,Physics Simulation Weight,物理模擬權重
初始颜色,初始颜色,Initial Color,初始顏色
路标,路标,Waypoint,路標
缓冲,缓冲,Buffer,緩衝
优先级,优先级,Priority,優先級
◆批量开始/停止跑步,◆批量开始/停止跑步,◆Batch Start/Stop Run,◆批量開始/停止跑步
Destination,目标,Destination,目的地
动画数组,动画数组,Animation Array,動畫數組
◆批量跳跃,◆批量跳跃,◆Batch Jump,◆批量跳躍
全局重力,全局重力,Global Gravity,全域重力
Mesh,网格体,Mesh,網格體
HasBackFloor,有后地板,Has Back Floor,有後地板
速度（包含正负方向）,速度（包含正负方向）,Speed (Including Direction),速度（包含正負方向）
检测表面光照,检测表面光照,Detect Surface Lighting,檢測表面光照
启用示波器,启用示波器,Enable Oscilloscope,啟用示波器
体积光效应(日/月/环境光),体积光效应(日/月/环境光),Volumetric Light Effect (Sun/Moon/Ambient),體積光效應(日/月/環境光)
◆断肢,◆断肢,◆Dismember,◆斷肢
刷新附魔材质,刷新附魔材质,Refresh Enchantment Material,刷新附魔材質
后期景深模糊,后期景深模糊,Post Depth of Field Blur,後製景深模糊
VolumeMultiplier,体积倍率,Volume Multiplier,體積倍率
亮度,亮度,Brightness,亮度
动画库,动画库,Animation Library,動畫庫
BackFloorLocation,后地板位置,Back Floor Location,後地板位置
自定义按键映射,自定义按键映射,Custom Key Mapping,自訂按鍵映射
长宽比,长宽比,Aspect Ratio,長寬比
读取段落某格文本,读取段落某格文本,Read Section Cell Text,讀取段落某格文本
用python调用函数,用python调用函数,Call Function with Python,用python呼叫函式
